python main.py ./simulatedPlanets/example-sim-model_Rp_Teff ./simulatedPlanets/fake_grammaticalSystems_Rp_Teff.txt --num_planet_features 1 --num_stellar_features 1 --num_labels 3 --batch_size 100 --epochs 250 --width 2 --seed 5 --dropout_prob 0. --train

Random seed: 5
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_Teff.txt
   # planets:     37734
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        250

| epoch  76 | loss -0.262521334741 | 0.378738227759 bits | time 0:00:00   
| epoch  77 | loss -0.262688819536 | 0.378979857241 bits | time 0:00:01   
| epoch  78 | loss -0.262556315888 | 0.378788694885 bits | time 0:00:00   
| epoch  79 | loss -0.262973622197 | 0.379390740629 bits | time 0:00:00   
| epoch  80 | loss -0.262820801249 | 0.379170266605 bits | time 0:00:00   
| epoch  81 | loss -0.262820986371 | 0.379170533678 bits | time 0:00:00   
| epoch  82 | loss -0.263115314895 | 0.379595159981 bits | time 0:00:00   
| epoch  83 | loss -0.262552917161 | 0.378783791560 bits | time 0:00:00   
| epoch  84 | loss -0.262901210911 | 0.379286273225 bits | time 0:00:00   
| epoch  85 | loss -0.263165241354 | 0.379667188635 bits | time 0:00:01   
| epoch  86 | loss -0.263039042868 | 0.379485122705 bits | time 0:00:01   
| epoch  87 | loss -0.262940718383 | 0.379343270459 bits | time 0:00:01   
| epoch  88 | loss -0.263243759593 | 0.379780466510 bits | time 0:00:01   
| epoch  89 | loss -0.262970605225 | 0.379386388057 bits | time 0:00:00   
| epoch  90 | loss -0.263366050663 | 0.379956895231 bits | time 0:00:01   
| epoch  91 | loss -0.263190156253 | 0.379703133237 bits | time 0:00:01   
| epoch  92 | loss -0.263399459225 | 0.380005093596 bits | time 0:00:01   
| epoch  93 | loss -0.263155171480 | 0.379652660879 bits | time 0:00:01   
| epoch  94 | loss -0.263203176241 | 0.379721917109 bits | time 0:00:01   
| epoch  95 | loss -0.262965030140 | 0.379378344911 bits | time 0:00:01   
| epoch  96 | loss -0.263292478979 | 0.379850753726 bits | time 0:00:01   
| epoch  97 | loss -0.263512553519 | 0.380168254174 bits | time 0:00:01   
| epoch  98 | loss -0.263135178064 | 0.379623816476 bits | time 0:00:01   
| epoch  99 | loss -0.263248665308 | 0.379787543960 bits | time 0:00:01   
| epoch 100 | loss -0.263693891190 | 0.380429869132 bits | time 0:00:01   
| epoch 101 | loss -0.263191661349 | 0.379705304632 bits | time 0:00:01   
| epoch 102 | loss -0.263145749058 | 0.379639067197 bits | time 0:00:01   
| epoch 103 | loss -0.263432613283 | 0.380052924792 bits | time 0:00:01   
| epoch 104 | loss -0.263671135461 | 0.380397039555 bits | time 0:00:01   
| epoch 105 | loss -0.263491224202 | 0.380137482474 bits | time 0:00:01   
| epoch 106 | loss -0.263204535637 | 0.379723878303 bits | time 0:00:01   
| epoch 107 | loss -0.263427743048 | 0.380045898527 bits | time 0:00:01   
| epoch 108 | loss -0.263408503677 | 0.380018141983 bits | time 0:00:01   
| epoch 109 | loss -0.263462288670 | 0.380095737325 bits | time 0:00:01   
| epoch 110 | loss -0.263428765472 | 0.380047373574 bits | time 0:00:00   
| epoch 111 | loss -0.263573404342 | 0.380256043355 bits | time 0:00:01   
| epoch 112 | loss -0.263825674379 | 0.380619992085 bits | time 0:00:01   
| epoch 113 | loss -0.263374465641 | 0.379969035477 bits | time 0:00:00   
| epoch 114 | loss -0.263438310100 | 0.380061143561 bits | time 0:00:00   
| epoch 115 | loss -0.263564353582 | 0.380242985868 bits | time 0:00:00   
| epoch 116 | loss -0.263998576888 | 0.380869437679 bits | time 0:00:00   
| epoch 117 | loss -0.263473895492 | 0.380112482430 bits | time 0:00:00   
| epoch 118 | loss -0.263719987617 | 0.380467518318 bits | time 0:00:00   
| epoch 119 | loss -0.263697159669 | 0.380434584551 bits | time 0:00:00   
| epoch 120 | loss -0.263296289892 | 0.379856251711 bits | time 0:00:00   
| epoch 121 | loss -0.263712494935 | 0.380456708663 bits | time 0:00:00   
| epoch 122 | loss -0.263513022314 | 0.380168930503 bits | time 0:00:01   
| epoch 123 | loss -0.263725090910 | 0.380474880814 bits | time 0:00:01   
| epoch 124 | loss -0.263802008023 | 0.380585848752 bits | time 0:00:00   
| epoch 125 | loss -0.263939390738 | 0.380784050112 bits | time 0:00:00   
| epoch 126 | loss -0.263409949484 | 0.380020227842 bits | time 0:00:01   
| epoch 127 | loss -0.263443117262 | 0.380068078830 bits | time 0:00:00   
| epoch 128 | loss -0.263847865125 | 0.380652006565 bits | time 0:00:00   
| epoch 129 | loss -0.263692409273 | 0.380427731178 bits | time 0:00:01   
| epoch 130 | loss -0.263514299872 | 0.380170773629 bits | time 0:00:00   
| epoch 131 | loss -0.263634180896 | 0.380343725388 bits | time 0:00:00   
| epoch 132 | loss -0.263519673278 | 0.380178525815 bits | time 0:00:01   
| epoch 133 | loss -0.263532505464 | 0.380197038746 bits | time 0:00:01   
| epoch 134 | loss -0.263741611804 | 0.380498715425 bits | time 0:00:01   
| epoch 135 | loss -0.263642740786 | 0.380356074698 bits | time 0:00:00   
| epoch 136 | loss -0.263540188945 | 0.380208123665 bits | time 0:00:01   
| epoch 137 | loss -0.263765465488 | 0.380533129017 bits | time 0:00:01   
| epoch 138 | loss -0.263896412793 | 0.380722046044 bits | time 0:00:01   
| epoch 139 | loss -0.263721079580 | 0.380469093688 bits | time 0:00:01   
| epoch 140 | loss -0.263503077484 | 0.380154583146 bits | time 0:00:01   
