python main.py ./simulatedPlanets/example-sim-model_Rp_loguP ./simulatedPlanets/fake_grammaticalSystems_Rp_loguP.txt --num_planet_features 2 --num_stellar_features 0 --num_labels 3 --batch_size 100 --epochs 500 --width 2 --seed 128 --dropout_prob 0.05 --train

Random seed: 128
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_loguP.txt
   # planets:     37654
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        500

| epoch  74 | loss -0.470424411942 | 0.678678966222 bits | time 0:00:01   
| epoch  75 | loss -0.464268869920 | 0.669798396273 bits | time 0:00:01   
| epoch  76 | loss -0.458376887781 | 0.661298062859 bits | time 0:00:02   
| epoch  77 | loss -0.464991331733 | 0.670840688347 bits | time 0:00:02   
| epoch  78 | loss -0.460150397425 | 0.663856696428 bits | time 0:00:01   
| epoch  79 | loss -0.464115176656 | 0.669576663763 bits | time 0:00:01   
| epoch  80 | loss -0.463834015855 | 0.669171034470 bits | time 0:00:01   
| epoch  81 | loss -0.466054369742 | 0.672374328012 bits | time 0:00:02   
| epoch  82 | loss -0.459400578266 | 0.662774936046 bits | time 0:00:01   
| epoch  83 | loss -0.465942246923 | 0.672212568977 bits | time 0:00:01   
| epoch  84 | loss -0.462068378451 | 0.666623758143 bits | time 0:00:01   
| epoch  85 | loss -0.463724324099 | 0.669012782718 bits | time 0:00:01   
| epoch  86 | loss -0.468737527135 | 0.676245305877 bits | time 0:00:01   
| epoch  87 | loss -0.463493419895 | 0.668679658367 bits | time 0:00:01   
| epoch  88 | loss -0.466068308613 | 0.672394437551 bits | time 0:00:01   
| epoch  89 | loss -0.468869186444 | 0.676435250108 bits | time 0:00:01   
| epoch  90 | loss -0.459655692707 | 0.663142988385 bits | time 0:00:01   
| epoch  91 | loss -0.459756741078 | 0.663288770368 bits | time 0:00:01   
| epoch  92 | loss -0.459760583601 | 0.663294313958 bits | time 0:00:01   
| epoch  93 | loss -0.467297130618 | 0.674167252964 bits | time 0:00:01   
| epoch  94 | loss -0.470823024723 | 0.679254042904 bits | time 0:00:02   
| epoch  95 | loss -0.461500411483 | 0.665804355014 bits | time 0:00:02   
| epoch  96 | loss -0.465194051794 | 0.671133151574 bits | time 0:00:01   
| epoch  97 | loss -0.471030660349 | 0.679553597792 bits | time 0:00:01   
| epoch  98 | loss -0.464778441965 | 0.670533553336 bits | time 0:00:01   
| epoch  99 | loss -0.466607889541 | 0.673172888280 bits | time 0:00:01   
| epoch 100 | loss -0.476341946293 | 0.687216163684 bits | time 0:00:01   
| epoch 101 | loss -0.467704428128 | 0.674754859062 bits | time 0:00:01   
| epoch 102 | loss -0.468879577731 | 0.676450241567 bits | time 0:00:01   
| epoch 103 | loss -0.464401232390 | 0.669989354952 bits | time 0:00:01   
| epoch 104 | loss -0.469080131234 | 0.676739579111 bits | time 0:00:01   
| epoch 105 | loss -0.470763930908 | 0.679168788550 bits | time 0:00:01   
| epoch 106 | loss -0.471114364085 | 0.679674356756 bits | time 0:00:01   
| epoch 107 | loss -0.478633348917 | 0.690521958886 bits | time 0:00:01   
| epoch 108 | loss -0.474799130339 | 0.684990350759 bits | time 0:00:01   
| epoch 109 | loss -0.460165893367 | 0.663879052348 bits | time 0:00:01   
| epoch 110 | loss -0.473765349673 | 0.683498920518 bits | time 0:00:01   
| epoch 111 | loss -0.468235781322 | 0.675521439681 bits | time 0:00:01   
| epoch 112 | loss -0.473059824512 | 0.682481062868 bits | time 0:00:01   
| epoch 113 | loss -0.468601182459 | 0.676048602088 bits | time 0:00:01   
| epoch 114 | loss -0.464843967865 | 0.670628087226 bits | time 0:00:01   
| epoch 115 | loss -0.470082078673 | 0.678185083712 bits | time 0:00:01   
| epoch 116 | loss -0.478777991208 | 0.690730633602 bits | time 0:00:01   
| epoch 117 | loss -0.471377101280 | 0.680053406405 bits | time 0:00:01   
| epoch 118 | loss -0.466234101778 | 0.672633626528 bits | time 0:00:01   
| epoch 119 | loss -0.468407786493 | 0.675769590688 bits | time 0:00:01   
| epoch 120 | loss -0.472016435640 | 0.680975770916 bits | time 0:00:01   
| epoch 121 | loss -0.475046027481 | 0.685346548041 bits | time 0:00:01   
