# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr rormax rormax_uerr rormax_lerr
3323887 1 3 0.027000 0.227300 1.592960 38.907875 22972.381967 11.700907 2.501016 2.128907 0.112083 0.023957 0.020393
3326377 0 2 0.003720 0.625300 0.091248 198.710625 153050.434460 52.493815 5.316878 5.629861 0.600891 0.060862 0.064444
3338885 0 2 0.007752 0.056700 0.255641 5.058213 80082.594283 29.689032 2.724950 3.150188 0.163094 0.014969 0.017305
3342794 0 2 0.006111 0.114600 0.174640 14.172229 139303.169662 48.160757 5.713958 4.362684 0.335641 0.039822 0.030404
3342970 0 2 0.005004 0.077000 0.119572 7.212037 152094.710034 52.484955 4.689716 4.989253 0.446684 0.039913 0.042462
3529290 0 2 0.004404 0.109400 0.110987 13.728137 139671.085712 46.630772 5.245095 4.636783 0.450921 0.050720 0.044838
3541946 0 2 0.004311 0.130400 0.106913 17.790017 147411.093636 49.565373 6.606680 5.133135 0.489639 0.065265 0.050708
3541946 1 3 0.022900 0.258300 1.311843 49.567408 28480.442862 12.125568 1.461939 1.129054 0.119784 0.014442 0.011154
3548044 0 2 0.004418 0.303100 0.119761 67.968656 141287.376424 48.824145 4.647918 3.831834 0.470640 0.044804 0.036937
3548044 1 3 0.193800 1.061000 34.763054 445.216850 9952.347750 11.269303 3.082467 1.279231 0.108630 0.029713 0.012331
3554031 0 2 0.002576 0.069500 0.062181 8.707983 90803.636535 33.426014 3.634896 3.276437 0.552525 0.060084 0.054159
3554031 1 3 0.042600 0.099300 4.176343 14.862308 1024.018940 12.628526 2.637871 1.435165 0.208747 0.043603 0.023723
3559860 0 2 0.004604 0.301500 0.111399 58.940569 184026.271431 62.657943 6.193785 6.163475 0.579587 0.057293 0.057012
3559935 0 2 0.005664 0.810600 0.119487 265.296170 157639.071646 54.665933 7.178263 6.421528 0.516619 0.067838 0.060686
3632089 0 2 0.004316 0.180300 0.117774 31.778756 128738.816479 44.599041 4.310722 3.745213 0.440104 0.042538 0.036958
3634051 0 2 0.013979 1.329200 0.489803 453.542120 274172.771972 86.840145 10.448223 6.530745 0.264551 0.031830 0.019895
3640905 0 2 0.014189 0.302700 0.519105 51.077105 205172.515936 69.096135 6.639725 6.652938 0.207391 0.019929 0.019969
3642289 0 2 0.006325 0.107200 0.163854 11.448658 169565.790365 57.233003 6.780735 5.390886 0.385376 0.045658 0.036299
3645438 0 2 0.003878 0.122800 0.097541 17.369511 130117.378277 45.494377 3.455750 4.637937 0.499539 0.037945 0.050926
3645438 1 3 0.068900 0.971200 7.298142 386.370512 30575.609665 12.882554 1.076897 1.187562 0.141453 0.011825 0.013040
3656121 0 2 0.005371 0.355300 0.142711 76.732456 178224.669940 59.786834 5.933788 5.459567 0.474025 0.047047 0.043287
3657758 0 2 0.004037 0.045500 0.095452 3.609313 108568.574186 38.575925 3.587363 2.932558 0.406981 0.037847 0.030939
3661886 0 2 0.005506 0.177900 0.147251 27.014262 163984.733136 55.240987 5.784410 5.867852 0.427255 0.044739 0.045384
3734418 0 2 0.003869 0.064100 0.088701 6.625478 107437.428202 38.822794 2.540954 3.676165 0.456967 0.029908 0.043271
3745690 0 2 0.004716 0.069800 0.123439 7.025741 117610.258282 41.943182 4.916940 3.702196 0.378792 0.044405 0.033435
3745690 1 3 0.027500 0.108100 1.732346 13.540575 6307.624265 11.973404 2.210263 1.895406 0.108133 0.019961 0.017118
3747817 0 2 0.003725 0.604500 0.089488 184.772710 159531.845414 54.233593 5.689522 5.590860 0.620031 0.065046 0.063918
3867615 0 2 0.005860 0.319400 0.156340 62.784398 189104.176373 61.990277 7.770820 5.073981 0.450537 0.056477 0.036877
3937519 0 2 0.005055 0.061400 0.139301 5.896620 104066.251428 37.041656 3.852362 3.763917 0.312060 0.032454 0.031709
3939150 0 2 0.008636 0.212900 0.269947 33.006318 177688.846512 58.449283 6.017679 5.740351 0.288234 0.029675 0.028308
3942670 0 2 0.006604 0.210200 0.186200 33.416055 176423.984321 60.571773 6.544661 6.172829 0.390624 0.042206 0.039808
3962243 0 2 0.004530 0.199400 0.109337 31.884147 173969.097161 58.753702 4.846183 6.104295 0.552400 0.045564 0.057392
3962243 1 3 0.115900 0.264200 14.128477 48.647854 1663.318272 13.038855 2.457867 2.016058 0.122591 0.023109 0.018955
3967760 0 2 0.004669 0.079400 0.125288 8.775148 116819.190788 40.669304 3.923520 4.103012 0.370946 0.035787 0.037424
4077526 0 2 0.005036 0.092700 0.129449 10.218645 141093.496783 48.184115 6.487733 4.454072 0.407430 0.054858 0.037662
4077526 1 3 0.053300 0.122800 4.458149 15.573637 1695.639691 12.416535 2.177738 1.197061 0.104990 0.018414 0.010122
4077526 2 4 0.092700 0.230700 10.218645 40.101556 2191.424741 12.035410 2.389140 1.865545 0.101768 0.020202 0.015774
4139816 0 2 0.002293 0.061400 0.056589 7.825022 77138.443126 29.025731 2.678240 2.505787 0.539155 0.049748 0.046545
4139816 1 3 0.034800 0.115000 3.340219 20.060363 2354.679738 12.265310 2.344325 1.459082 0.227829 0.043546 0.027103
4139816 2 4 0.061400 0.200500 7.825022 46.184204 2290.528314 13.045441 1.861865 2.370368 0.242320 0.034584 0.044030
