# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr
2715695 1 2 0.045700 0.068800 4.095782 7.558429 150.871351 13.527366 3.017070 2.373394
2717158 0 1 0.004013 0.107700 342272.918175 13.222615 146506.880802 50.579174 4.581450 5.112367
2718778 0 1 0.003948 0.047800 336458.522594 3.924530 109860.205836 39.799054 3.398140 3.620325
2721030 0 1 0.004357 0.066000 373197.306217 6.100276 132661.500458 46.837222 5.637768 4.105906
2831055 0 1 0.005078 0.033600 468162.801474 2.209231 79564.920956 29.375931 2.867637 2.272085
2849140 0 1 0.003734 0.097800 316297.869335 11.823723 137445.479108 47.528222 5.131411 4.708230
2849805 0 1 0.004571 0.047000 408859.878051 3.749106 105676.202528 37.197065 2.618694 3.594156
2853029 0 1 0.004195 0.327100 381688.059676 72.933276 155773.094203 52.810334 7.886145 4.630113
2853093 0 1 0.005641 0.587400 547827.507051 161.527835 187426.201037 63.578438 6.452395 7.439495
2853446 0 1 0.004976 0.073700 465503.249517 7.372903 125840.703004 43.392135 4.222683 3.671627
2854698 0 1 0.003948 0.074500 359826.174104 8.187394 114820.792059 41.469888 3.924399 4.510819
2854698 1 2 0.074500 0.329000 8.187394 76.049816 7066.438303 12.006866 2.531814 1.589894
2854914 0 1 0.005697 0.174900 549109.487306 25.934064 167453.989452 56.882114 3.848027 4.426050
2854914 1 2 0.174900 0.381300 25.934064 83.446348 1443.030623 12.752636 2.411719 2.162734
2857607 0 1 0.003892 0.230100 331296.610958 41.868200 161206.392525 54.406211 5.969687 4.491118
2859893 0 1 0.004199 0.946200 354454.529778 333.038420 190580.130631 64.179966 6.734223 7.673307
2860656 0 1 0.004311 0.050400 370871.452522 4.114974 115632.250659 39.936180 5.312624 3.238863
2860866 0 1 0.005650 0.427000 493550.889573 90.124051 227061.564554 74.077082 7.794991 6.217466
2861298 0 1 0.009324 1.368000 1179124.394719 581.729006 185859.369344 60.456347 6.662242 5.548559
2973386 0 1 0.002232 0.152200 198405.971625 31.020917 85922.368330 31.435489 2.836973 2.868149
