python main.py ./simulatedPlanets/example-sim-model_Rp_loguP ./simulatedPlanets/fake_grammaticalSystems_Rp_loguP.txt --num_planet_features 2 --num_stellar_features 0 --num_labels 3 --batch_size 100 --epochs 500 --width 2 --seed 16 --dropout_prob 0.1 --train

Random seed: 16
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_loguP.txt
   # planets:     37619
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        500

| epoch   1 | loss -0.000000002213 | 0.000000003193 bits | time 0:00:01   
| epoch   2 | loss -0.000000003162 | 0.000000004562 bits | time 0:00:01   
| epoch   3 | loss -0.000000005059 | 0.000000007299 bits | time 0:00:01   
| epoch   4 | loss -0.000000000632 | 0.000000000912 bits | time 0:00:01   
| epoch   5 | loss -0.000000002530 | 0.000000003649 bits | time 0:00:01   
| epoch   6 | loss -0.000000002530 | 0.000000003649 bits | time 0:00:01   
| epoch   7 | loss -0.000000002530 | 0.000000003649 bits | time 0:00:01   
| epoch   8 | loss -0.000000000949 | 0.000000001369 bits | time 0:00:01   
| epoch   9 | loss -0.000000004427 | 0.000000006387 bits | time 0:00:01   
| epoch  10 | loss -0.000000004743 | 0.000000006843 bits | time 0:00:01   
| epoch  11 | loss -0.000000000632 | 0.000000000912 bits | time 0:00:01   
| epoch  12 | loss -0.000000001897 | 0.000000002737 bits | time 0:00:01   
| epoch  13 | loss -0.000000002213 | 0.000000003193 bits | time 0:00:01   
| epoch  14 | loss 0.000000001265 | -0.000000001825 bits | time 0:00:01   
| epoch  15 | loss -0.000000005692 | 0.000000008211 bits | time 0:00:01   
| epoch  16 | loss -0.000000386086 | 0.000000557005 bits | time 0:00:01   
| epoch  17 | loss -0.064169035666 | 0.092576349534 bits | time 0:00:01   
| epoch  18 | loss -0.244952102555 | 0.353391183611 bits | time 0:00:01   
| epoch  19 | loss -0.292160469673 | 0.421498460741 bits | time 0:00:01   
| epoch  20 | loss -0.306265277714 | 0.441847397354 bits | time 0:00:01   
| epoch  21 | loss -0.317153612641 | 0.457555944157 bits | time 0:00:01   
| epoch  22 | loss -0.326542048777 | 0.471100594412 bits | time 0:00:01   
| epoch  23 | loss -0.329237436426 | 0.474989216807 bits | time 0:00:01   
| epoch  24 | loss -0.334616606843 | 0.482749719291 bits | time 0:00:01   
| epoch  25 | loss -0.335390699163 | 0.483866498442 bits | time 0:00:01   
| epoch  26 | loss -0.337859530348 | 0.487428268950 bits | time 0:00:01   
| epoch  27 | loss -0.335583410703 | 0.484144522425 bits | time 0:00:01   
| epoch  28 | loss -0.341530659787 | 0.492724589186 bits | time 0:00:01   
| epoch  29 | loss -0.342660720848 | 0.494354922675 bits | time 0:00:01   
| epoch  30 | loss -0.343217504119 | 0.495158191139 bits | time 0:00:01   
| epoch  31 | loss -0.348190067380 | 0.502332083497 bits | time 0:00:01   
| epoch  32 | loss -0.346058404572 | 0.499256744134 bits | time 0:00:01   
| epoch  33 | loss -0.351396385808 | 0.506957823191 bits | time 0:00:01   
| epoch  34 | loss -0.345297098239 | 0.498158411263 bits | time 0:00:01   
| epoch  35 | loss -0.348390121201 | 0.502620700151 bits | time 0:00:01   
| epoch  36 | loss -0.349002497345 | 0.503504172177 bits | time 0:00:01   
| epoch  37 | loss -0.351633233480 | 0.507299522154 bits | time 0:00:01   
| epoch  38 | loss -0.351105111110 | 0.506537602629 bits | time 0:00:01   
| epoch  39 | loss -0.351554276061 | 0.507185610677 bits | time 0:00:01   
| epoch  40 | loss -0.351486065106 | 0.507087203070 bits | time 0:00:01   
| epoch  41 | loss -0.350779805085 | 0.506068285241 bits | time 0:00:01   
| epoch  42 | loss -0.350289299254 | 0.505360634910 bits | time 0:00:01   
| epoch  43 | loss -0.357004786281 | 0.515049034741 bits | time 0:00:01   
| epoch  44 | loss -0.356400587673 | 0.514177360405 bits | time 0:00:01   
| epoch  45 | loss -0.358490407230 | 0.517192332717 bits | time 0:00:01   
| epoch  46 | loss -0.358593240894 | 0.517340690334 bits | time 0:00:01   
| epoch  47 | loss -0.356323919657 | 0.514066751839 bits | time 0:00:01   
| epoch  48 | loss -0.359344881947 | 0.518425079154 bits | time 0:00:01   
| epoch  49 | loss -0.363347087520 | 0.524199041286 bits | time 0:00:01   
| epoch  50 | loss -0.359245389463 | 0.518281541840 bits | time 0:00:01   
| epoch  51 | loss -0.356667874267 | 0.514562973450 bits | time 0:00:01   
| epoch  52 | loss -0.362398492088 | 0.522830507362 bits | time 0:00:01   
